Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,117.506715,-104.887157,180,top
C2,0.1uF,C_0402_1005Metric,125.116904,-95.394595,90,top
C3,0.1uF,C_0402_1005Metric,126.310212,-95.358434,90,top
C4,0.1uF,C_0402_1005Metric,127.250394,-97.999914,90,top
C5,0.1uF,C_0402_1005Metric,122.086396,-86.8841,-90,top
C6,0.1uF,C_0402_1005Metric,122.074874,-84.830888,-90,top
C7,0.1uF,C_0402_1005Metric,127.333924,-101.180217,-90,top
C8,1uF,C_0402_1005Metric,128.358481,-101.17419,-90,top
C9,0.1uF,C_0402_1005Metric,124.048653,-108.52219,-90,top
C10,1uF,C_0402_1005Metric,125.09129,-108.532506,-90,top
C11,0.1uF,C_0402_1005Metric,122.369567,-95.471788,90,top
C12,0.1uF,C_0402_1005Metric,126.150978,-108.533582,-90,top
C13,10uF,C_0402_1005Metric,126.202721,-97.998341,90,top
C14,10uF,C_0402_1005Metric,125.515937,-81.701227,0,top
C15,33pF,C_0402_1005Metric,119.766202,-111.475069,-90,top
C16,33pF,C_0402_1005Metric,125.291658,-111.332169,90,top
C17,0.1uF,C_0402_1005Metric,117.498543,-103.834818,180,top
D1,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,119.447277,-86.367724,-90,top
D2,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,118.373753,-86.395839,-90,top
D3,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,117.365218,-86.488778,-90,top
D4,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,120.504982,-86.355718,-90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,122.634375,-75.821875,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,113.744375,-74.691875,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,131.524375,-74.691875,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,120.094375,-122.711875,90,top
R1,5.1K,R_0402_1005Metric,124.624502,-82.771738,0,top
R2,5.1K,R_0402_1005Metric,121.257343,-81.693889,0,top
R3,27,R_0402_1005Metric,123.02582,-97.453214,90,top
R4,27,R_0402_1005Metric,124.055967,-96.684913,90,top
R5,1K,R_0402_1005Metric,122.566712,-109.018289,0,top
R6,10k,R_0402_1005Metric,120.875119,-94.890104,180,top
R7,1K,R_0402_1005Metric,120.811639,-93.829353,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,120.122608,-90.774111,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,122.634375,-102.821875,0,top
U2,W25Q16JVSS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,119.702078,-96.943214,0,top
U4,MCP1700x-330xxTT,SOT-23,119.548573,-83.139477,90,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,122.497696,-111.419176,180,top
