Comment,Designator,Footprint,JLCPCB Part #
10uF,"C14,C13",C_0402_1005Metric,C15525
MCP1700x-330xxTT,U4,SOT-23,C39051
33pF,"C15,C16",C_0402_1005Metric,C1562
1K,"R5,R7",R_0402_1005Metric,C11702
LED,"D3,D2,D1,D4",LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C71911
Conn_01x03,J4,PinHeader_1x03_P2.54mm_Vertical,C92159
5.1K,"R2,R1",R_0402_1005Metric,C25905
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q16JVSS,U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C131025
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
1uF,"C10,C8",C_0402_1005Metric,C14445
0.1uF,"C7,C12,C11,C6,C2,C9,C1,C4,C3,C17,C5",C_0402_1005Metric,C1525
Conn_01x20,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,C247921
10k,R6,R_0402_1005Metric,C25744
27,"R4,R3",R_0402_1005Metric,C11616
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
SW_Push,SW1,SW_Push_SPST_NO_Alps_SKRK,C720477
